pattern_name,pattern,type,description
CDL2CROWS,Two Crows,Bearish Reversal,"A bearish reversal pattern consisting of two consecutive black candles, where the second candle opens higher and closes lower, signaling a downtrend."
CDL3BLACKCROWS,Three Black Crows,Bearish Reversal,"A strong bearish reversal pattern with three consecutive long black candles, each closing lower than the previous one."
CDL3INSIDE,Three Inside Up/Down,Reversal,"A reversal pattern where the first candle is large, the second is contained within the first, and the third confirms the trend reversal."
CDL3LINESTRIKE,Three-Line Strike,Continuation,"A pattern with three candles in the same direction, followed by a large opposite candle engulfing them, indicating a potential reversal."
CDL3OUTSIDE,Three Outside Up/Down,Reversal,"A pattern with three candles, the first small, the second engulfing the first, and the third confirming the trend reversal."
CDL3STARSINSOUTH,Three Stars in the South,Bullish Reversal,"A bullish reversal pattern with three small candles that form below the previous trend, signaling a potential reversal."
CDL3WHITESOLDIERS,Three Advancing White Soldiers,Bullish Reversal,A bullish pattern with three consecutive long white candles indicating strong upward momentum.
CDLABANDONEDBABY,Abandoned Baby,Reversal,"A reversal pattern with three candles: a large candle, followed by a small gap, and a third candle in the opposite direction, signaling a trend reversal."
CDLADVANCEBLOCK,Advance Block,Bearish Continuation,"A bearish continuation pattern where three white candles appear, but the third is smaller than the previous two, signaling a weakening trend."
CDLBELTHOLD,Belt-hold,Continuation,"A single candle pattern where the candle opens at the low (bullish) or high (bearish) and closes near the opposite end, indicating a continuation of the trend."
CDLBREAKAWAY,Breakaway,Reversal,"A reversal pattern consisting of five candles: an initial trend, a gap, and three candles confirming the trend reversal."
CDLCLOSINGMARUBOZU,Closing Marubozu,Reversal or Continuation,"A single candlestick pattern where the price opens and closes at the extremes, without shadows, indicating a strong trend continuation or reversal."
CDLCONCEALBABYSWALL,Concealing Baby Swallow,Reversal,"A reversal pattern where a smaller candlestick is engulfed by a larger opposite candlestick, with a small gap between them."
CDLCOUNTERATTACK,Counterattack,Reversal,"A reversal pattern where a candlestick is followed by a large opposite candle that reverses the initial move, indicating a shift in momentum."
CDLDARKCLOUDCOVER,Dark Cloud Cover,Bearish Reversal,"A bearish reversal pattern where the second candle opens above the first one and closes below its midpoint, signaling a potential downtrend."
CDLDOJI,Doji,Indecision,"A candlestick with a small body and long shadows, indicating indecision in the market and potential for a reversal after a strong trend."
CDLDOJISTAR,Doji Star,Reversal,"A reversal pattern consisting of a Doji followed by a large opposite candle, signaling a potential trend reversal."
CDLDRAGONFLYDOJI,Dragonfly Doji,Bullish Reversal,"A Doji with a long lower shadow and no upper shadow, indicating a potential bullish reversal after a downtrend."
CDLENGULFING,Engulfing Pattern,Reversal,"A reversal pattern where a small candle is followed by a larger candle that completely engulfs the previous one, signaling a change in trend."
CDLEVENINGDOJISTAR,Evening Doji Star,Bearish Reversal,"A bearish reversal pattern consisting of a Doji followed by a large bearish candle, signaling a potential reversal from an uptrend to a downtrend."
CDLEVENINGSTAR,Evening Star,Bearish Reversal,"A bearish reversal pattern consisting of three candles: a large bullish candle, followed by a small-bodied candle, and a large bearish candle."
CDLGAPSIDESIDEWHITE,Up/Down-gap side-by-side white lines,Bullish Continuation,"A pattern with two consecutive white candles separated by a gap, suggesting strong bullish momentum."
