,ticker,date,open,high,low,close,adj close,volume,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,SMA5,SMA10,SMA21,SMA50,SMA200,VOL20,RSI,ATR
0,A,2024-12-20,133.23,135.49,133.23,134.51,134.51,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.9679999999998,138.187,137.6309523809523,135.96519999999992,138.66359999999995,2.021,44.65183050932146,3.320011470082355
1,AAPL,2024-12-20,248.12,255.0,246.3,254.49,254.49,125.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.37000000000018,249.39500000000015,243.0314285714287,234.82160000000005,210.92235000000016,49.17050000000004,72.26098620474613,4.237781766472399
2,ABBV,2024-12-20,171.79,176.8,170.66,175.58,175.58,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,173.42599999999985,174.03000000000003,176.4419047619048,182.76120000000026,178.83274999999998,6.2425000000000015,46.963091743370924,4.008770676655089
3,ABL,2024-12-20,7.5,7.9,7.42,7.72,7.72,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.668000000000002,7.79400000000002,7.884761904761916,8.502199999999998,10.084299999999999,0.4440000000000001,41.6649569838034,0.39043700353698485
4,ABNB,2024-12-20,128.63,135.82,128.34,134.21,134.21,12.52,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.10800000000003,133.83700000000016,135.77238095238104,135.63039999999998,141.11210000000005,4.813500000000001,49.31035591258098,4.150705135341488
5,ABOS,2024-12-20,1.78,1.86,1.75,1.85,1.85,1.0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.874000000000001,2.0069999999999952,2.143333333333338,2.4876000000000014,2.89915,0.3364999999999997,32.247255857596485,0.15733351110527316
6,ABP,2024-12-20,1.41,3.99,1.41,2.07,2.07,17.77,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4340000000000157,1.5490000000000221,2.060000000000003,6.368999999999971,9.920049999999986,1.7865000000000002,34.26674896665191,0.7385875091273534
7,ABSI,2024-12-20,2.88,3.09,2.86,2.99,2.99,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3.2219999999999906,3.509000000000003,3.1919047619047625,3.5549999999999953,4.152149999999998,2.459000000000001,43.81831873187802,0.39117303214741483
8,ABT,2024-12-20,112.64,115.11,112.52,114.23,114.23,11.95,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.89800000000021,113.62699999999995,115.4933333333333,115.98100000000004,110.67190000000004,5.1790000000000065,46.69502777279416,1.9146443856825373
9,ACCD,2024-12-20,3.26,3.48,3.26,3.48,3.48,2.04,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3920000000000057,3.4850000000000008,3.5980952380952416,3.515400000000003,5.398150000000007,1.1035,47.34428381953702,0.18615291070779358
10,ACDC,2024-12-20,7.04,7.32,6.9,6.99,6.99,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,7.195999999999986,7.527999999999993,7.940476190476191,7.1168,7.529850000000003,0.47900000000000037,42.2998147479452,0.48892181213798735
11,ACGL,2024-12-20,88.63,91.35,88.63,90.99,90.99,4.09,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.11200000000001,92.1220000000001,95.95523809523802,100.13159999999999,100.26680000000005,1.9324999999999988,34.145937934332125,2.0211364869710198
12,ACHR,2024-12-20,8.25,10.0,8.18,9.49,9.49,69.97,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.964000000000006,8.331000000000007,7.83,5.379200000000002,4.224049999999997,56.68099999999998,66.43467108021268,1.0543903576937745
13,ACI,2024-12-20,19.36,19.59,19.25,19.52,19.52,9.9,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,19.409999999999982,19.134999999999994,19.264285714285705,18.95839999999999,19.746049999999997,6.832500000000006,54.66892620110435,0.6058042546740637
14,ACLX,2024-12-20,74.16,76.41,73.4,75.54,75.54,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,78.32600000000001,81.10499999999992,85.1147619047619,88.53040000000003,69.02414999999996,0.601,34.67487084216883,4.933012560175628
15,ACN,2024-12-20,370.7,372.07,362.0,366.37,366.37,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.1000000000001,360.5599999999997,360.4328571428572,360.4319999999996,333.3816500000001,2.632500000000001,54.96617003598509,9.007931069474154
